Name,Longitude,Latitude
Spruce Pine,-82.0646,35.9154
Franklin,-83.3815,35.1823
Waynesville,-82.9887,35.4887
Hendersonville,-82.461,35.3187
Brevard,-82.7343,35.2334
Marion,-82.0093,35.684
